patient	n	tree	k	min_mut	max_mut	RSS	BIC
CRUK0001	7	1	0	2043	2043	33555.75	2673.566
CRUK0001	7	1	1	272	1771	31525.32	2677.193
CRUK0001	7	1	2	272	1475	31014.23	2711.781
CRUK0001	7	1	3	272	1170	30921.42	2755.339
CRUK0001	7	1	4	84	1170	30831.9	2798.962
CRUK0001	7	1	5	84	1170	30794	2843.708
CRUK0001	7	1	6	84	1170	30764.13	2888.627
CRUK0002	8	1	0	267	267	408.5104	-438.3106
CRUK0002	8	1	1	48	219	370.2011	-467.4298
CRUK0002	8	1	2	28	191	359.4969	-443.4571
CRUK0002	8	1	3	22	148	351.4479	-414.3411
CRUK0002	8	1	4	15	133	345.373	-381.2258
CRUK0002	8	1	5	15	75	341.5989	-343.158
CRUK0002	8	1	6	8	67	339.8241	-300.652
CRUK0002	8	1	7	8	67	339.7169	-254.3878
CRUK0003	8	1	0	324	324	354.3581	-547.5275
CRUK0003	8	1	1	49	275	345.9626	-519.4355
CRUK0003	8	1	2	43	232	345.618	-473.6944
CRUK0003	8	1	3	43	142	344.5744	-429.5102
CRUK0003	8	1	4	26	168	341.9869	-388.7926
CRUK0003	8	1	5	26	125	341.0737	-344.3397
CRUK0003	8	1	6	26	90	340.473	-299.1869
CRUK0003	8	1	7	2	90	340.2342	-253.2193
CRUK0004	7	1	0	304	304	387.0369	-325.1962
CRUK0004	7	1	1	77	227	372.2357	-305.8276
CRUK0004	7	1	2	50	147	351.4865	-298.7991
CRUK0004	7	1	3	50	107	327.909	-299.8878
CRUK0004	7	1	4	40	77	325.4519	-259.3702
CRUK0004	7	1	5	9	77	324.6147	-215.5293
CRUK0004	7	1	6	9	77	324.459	-170.2799
CRUK0004	7	2	0	304	304	387.0369	-325.1962
CRUK0004	7	2	1	77	227	372.2357	-305.8276
CRUK0004	7	2	2	50	184	342.445	-316.3116
CRUK0004	7	2	3	50	107	327.909	-299.8878
CRUK0004	7	2	4	40	77	325.4519	-259.3702
CRUK0004	7	2	5	9	77	324.6147	-215.5293
CRUK0004	7	2	6	9	77	324.459	-170.2799
CRUK0005	6	1	0	1447	1447	5960.657	1390.506
CRUK0005	6	1	1	122	1325	5459.359	1384.397
CRUK0005	6	1	2	63	1262	5351.841	1417.433
CRUK0005	6	1	3	63	954	5324.735	1459.001
CRUK0005	6	1	4	24	954	5305.284	1501.386
CRUK0005	6	1	5	24	538	5297.798	1545.065
CRUK0005	6	2	0	1447	1447	5960.657	1390.506
CRUK0005	6	2	1	122	1325	5459.359	1384.397
CRUK0005	6	2	2	63	1262	5351.841	1417.433
CRUK0005	6	2	3	24	1238	5329.389	1459.504
CRUK0005	6	2	4	63	538	5317.249	1502.684
CRUK0005	6	2	5	24	538	5297.798	1545.065
CRUK0006	3	1	0	1737	1737	28001.48	1357.832
CRUK0006	3	1	1	606	1131	26650.13	1383.227
CRUK0006	3	1	2	535	606	23359.49	1384.912
CRUK0007	3	1	0	101	101	111.8626	-232.7177
CRUK0007	3	1	1	36	65	106.8323	-206.3281
CRUK0007	3	1	2	32	36	108.1283	-163.2146
CRUK0008	5	1	0	351	351	1175.26	473.0366
CRUK0008	5	1	1	169	182	930.2197	404.0177
CRUK0008	5	1	2	51	169	894.2257	428.2921
CRUK0008	5	1	3	12	157	890.7502	469.6394
CRUK0008	5	1	4	9	157	892.0236	513.5416
CRUK0009	8	1	0	484	484	1133.554	345.5066
CRUK0009	8	1	1	125	359	982.1504	281.9062
CRUK0009	8	1	2	125	185	905.8825	266.3317
CRUK0009	8	1	3	40	185	879.6025	290.2286
CRUK0009	8	1	4	28	185	875.1395	332.8285
CRUK0009	8	1	5	28	185	872.6577	377.1539
CRUK0009	8	1	6	13	185	869.8001	421.1415
CRUK0009	8	1	7	8	185	870.0423	467.8618
CRUK0010	4	1	0	130	130	317.1198	-31.82883
CRUK0010	4	1	1	27	103	305.1859	-4.904047
CRUK0010	4	1	2	27	71	298.9824	28.86446
CRUK0010	4	1	3	5	71	297.5156	68.63045
CRUK0011	8	1	0	649	649	2431.606	931.64
CRUK0011	8	1	1	219	430	2204.595	902.8763
CRUK0011	8	1	2	105	325	2079.129	904.3818
CRUK0011	8	1	3	26	325	2071.207	947.9567
CRUK0011	8	1	4	26	325	2064.918	992.1277
CRUK0011	8	1	5	26	325	2061.004	1037.177
CRUK0011	8	1	6	15	325	2059.437	1083.099
CRUK0011	8	1	7	11	325	2059.515	1129.635
CRUK0011	8	2	0	649	649	2431.606	931.64
CRUK0011	8	2	1	127	522	2275.444	927.1693
CRUK0011	8	2	2	105	417	2151.627	930.7053
CRUK0011	8	2	3	92	325	2072.839	948.5617
CRUK0011	8	2	4	26	325	2064.918	992.1277
CRUK0011	8	2	5	26	325	2061.322	1037.296
CRUK0011	8	2	6	15	325	2059.754	1083.218
CRUK0011	8	2	7	11	325	2059.515	1129.635
CRUK0011	8	3	0	649	649	2431.606	931.64
CRUK0011	8	3	1	219	430	2204.595	902.8763
CRUK0011	8	3	2	105	325	2079.129	904.3818
CRUK0011	8	3	3	26	325	2071.207	947.9567
CRUK0011	8	3	4	26	325	2064.918	992.1277
CRUK0011	8	3	5	26	325	2061.322	1037.296
CRUK0011	8	3	6	15	325	2059.754	1083.218
CRUK0011	8	3	7	11	325	2059.515	1129.635
CRUK0012	5	1	0	148	148	203.3912	-368.9379
CRUK0012	5	1	1	21	127	196.1147	-343.2084
CRUK0012	5	1	2	20	107	193.451	-306.5562
CRUK0012	5	1	3	20	77	193.1186	-264.165
CRUK0012	5	1	4	11	77	192.912	-221.4625
CRUK0012	5	2	0	148	148	203.3912	-368.9379
CRUK0012	5	2	1	21	127	196.1147	-343.2084
CRUK0012	5	2	2	19	108	195.8042	-300.7526
CRUK0012	5	2	3	19	88	193.146	-264.097
CRUK0012	5	2	4	11	77	192.912	-221.4625
CRUK0013	9	1	0	214	214	393.756	-631.6359
CRUK0013	9	1	1	79	135	358.5741	-665.172
CRUK0013	9	1	2	27	108	354.602	-627.4652
CRUK0013	9	1	3	10	108	351.215	-588.4264
CRUK0013	9	1	4	10	108	348.7709	-547.1291
CRUK0013	9	1	5	6	108	347.612	-502.6736
CRUK0013	9	1	6	5	108	346.9464	-456.9985
CRUK0013	9	1	7	5	108	346.697	-410.2889
CRUK0013	9	1	8	5	108	346.6838	-362.9909
CRUK0013	9	2	0	214	214	393.756	-631.6359
CRUK0013	9	2	1	79	135	358.5741	-665.172
CRUK0013	9	2	2	27	108	354.602	-627.4652
CRUK0013	9	2	3	10	108	351.215	-588.4264
CRUK0013	9	2	4	10	108	348.7709	-547.1291
CRUK0013	9	2	5	6	108	347.612	-502.6736
CRUK0013	9	2	6	5	108	346.9464	-456.9985
CRUK0013	9	2	7	5	108	346.697	-410.2889
CRUK0013	9	2	8	5	108	346.6838	-362.9909
CRUK0013	9	3	0	214	214	393.756	-631.6359
CRUK0013	9	3	1	79	135	358.5741	-665.172
CRUK0013	9	3	2	27	108	354.602	-627.4652
CRUK0013	9	3	3	10	108	351.215	-588.4264
CRUK0013	9	3	4	10	108	349.4557	-545.4344
CRUK0013	9	3	5	5	108	348.1703	-501.2872
CRUK0013	9	3	6	5	108	346.9464	-456.9985
CRUK0013	9	3	7	5	108	346.697	-410.2889
CRUK0013	9	3	8	5	108	346.6838	-362.9909
CRUK0013	9	4	0	214	214	393.756	-631.6359
CRUK0013	9	4	1	74	140	357.5667	-667.6028
CRUK0013	9	4	2	27	113	353.5791	-629.9613
CRUK0013	9	4	3	10	113	350.192	-590.9467
CRUK0013	9	4	4	10	113	348.4041	-548.0382
CRUK0013	9	4	5	6	113	347.1803	-503.7475
CRUK0013	9	4	6	6	113	346.9308	-457.0375
CRUK0013	9	4	7	5	108	346.697	-410.2889
CRUK0013	9	4	8	5	108	346.6838	-362.9909
CRUK0013	9	5	0	214	214	393.756	-631.6359
CRUK0013	9	5	1	79	135	358.5741	-665.172
CRUK0013	9	5	2	27	108	354.602	-627.4652
CRUK0013	9	5	3	21	108	351.0007	-588.9539
CRUK0013	9	5	4	10	108	347.6137	-550.0006
CRUK0013	9	5	5	5	108	346.9481	-504.3256
CRUK0013	9	5	6	5	108	346.71	-457.5875
CRUK0013	9	5	7	5	108	346.6968	-410.2894
CRUK0013	9	5	8	5	108	346.6838	-362.9909
CRUK0013	9	6	0	214	214	393.756	-631.6359
CRUK0013	9	6	1	79	135	358.5741	-665.172
CRUK0013	9	6	2	27	108	354.602	-627.4652
CRUK0013	9	6	3	10	108	351.215	-588.4264
CRUK0013	9	6	4	10	108	348.234	-548.4601
CRUK0013	9	6	5	5	108	346.9481	-504.3256
CRUK0013	9	6	6	5	108	346.71	-457.5875
CRUK0013	9	6	7	5	108	346.6968	-410.2894
CRUK0013	9	6	8	5	108	346.6838	-362.9909
CRUK0013	9	7	0	214	214	393.756	-631.6359
CRUK0013	9	7	1	74	140	357.5667	-667.6028
CRUK0013	9	7	2	27	113	353.5791	-629.9613
CRUK0013	9	7	3	10	113	350.192	-590.9467
CRUK0013	9	7	4	10	113	347.1819	-551.0745
CRUK0013	9	7	5	10	113	346.9438	-504.3361
CRUK0013	9	7	6	5	108	346.71	-457.5875
CRUK0013	9	7	7	5	108	346.6968	-410.2894
CRUK0013	9	7	8	5	108	346.6838	-362.9909
CRUK0013	9	8	0	214	214	393.756	-631.6359
CRUK0013	9	8	1	79	135	358.5741	-665.172
CRUK0013	9	8	2	27	108	354.602	-627.4652
CRUK0013	9	8	3	10	108	351.215	-588.4264
CRUK0013	9	8	4	10	108	349.4557	-545.4344
CRUK0013	9	8	5	5	108	348.1703	-501.2872
CRUK0013	9	8	6	5	108	346.9464	-456.9985
CRUK0013	9	8	7	5	108	346.697	-410.2889
CRUK0013	9	8	8	5	108	346.6838	-362.9909
CRUK0014	3	1	0	67	67	105.216	-250.3595
CRUK0014	3	1	1	16	51	102.355	-218.6584
CRUK0014	3	1	2	12	39	101.5368	-181.3291
CRUK0015	4	1	0	122	122	189.4815	-229.5843
CRUK0015	4	1	1	27	95	176.6547	-214.8462
CRUK0015	4	1	2	9	95	174.239	-178.4789
CRUK0015	4	1	3	9	81	174.239	-136.8244
CRUK0016	8	1	0	1932	1932	27176.14	2785.429
CRUK0016	8	1	1	327	1605	26940.26	2825.24
CRUK0016	8	1	2	241	1364	26822.02	2868.368
CRUK0016	8	1	3	65	1364	26801.56	2914.289
CRUK0016	8	1	4	12	1364	26793.32	2960.559
CRUK0016	8	1	5	12	1364	26786.66	3006.875
CRUK0016	8	1	6	12	1364	26783.2	3053.282
CRUK0016	8	1	7	12	1364	26780.66	3099.716
CRUK0017	8	1	0	1151	1151	4726.114	1442.015
CRUK0017	8	1	1	204	947	3980.9	1356.737
CRUK0017	8	1	2	80	867	3912.991	1390.029
CRUK0017	8	1	3	30	867	3846.189	1423.311
CRUK0017	8	1	4	30	652	3824.426	1465.46
CRUK0017	8	1	5	30	652	3791.008	1505.226
CRUK0017	8	1	6	30	652	3787.663	1551.055
CRUK0017	8	1	7	8	652	3786.456	1597.316
CRUK0018	8	1	0	609	609	2515.903	957.8134
CRUK0018	8	1	1	72	537	2354.511	953.4025
CRUK0018	8	1	2	72	328	2222.186	955.4867
CRUK0018	8	1	3	72	351	2188.748	990.3488
CRUK0018	8	1	4	27	351	2167.988	1029.536
CRUK0018	8	1	5	25	378	2150.284	1069.746
CRUK0018	8	1	6	25	351	2147.752	1115.347
CRUK0018	8	1	7	23	328	2146.901	1161.549
CRUK0019	3	1	0	100	100	100.7631	-262.8134
CRUK0019	3	1	1	15	85	99.93503	-225.5493
CRUK0019	3	1	2	15	54	99.69273	-186.6077
CRUK0020	4	1	0	3258	3258	129027.2	2275.435
CRUK0020	4	1	1	1023	2235	52182.28	1969.462
CRUK0020	4	1	2	219	2016	51782.23	2008.161
CRUK0020	4	1	3	18	2016	51781.62	2049.811
CRUK0021	4	1	0	204	204	472.4872	121.2839
CRUK0021	4	1	1	41	163	454.9073	148.3782
CRUK0021	4	1	2	24	139	451.2784	186.9572
CRUK0021	4	1	3	12	139	451.4396	228.7488
CRUK0022	5	1	0	246	246	705.4829	228.0628
CRUK0022	5	1	1	59	187	653.3466	234.4274
CRUK0022	5	1	2	33	154	650.0961	275.2499
CRUK0022	5	1	3	4	154	649.9663	318.3705
CRUK0022	5	1	4	4	154	649.9663	361.587
CRUK0022	5	2	0	246	246	705.4829	228.0628
CRUK0022	5	2	1	52	194	655.0681	235.6905
CRUK0022	5	2	2	40	154	650.9058	275.8474
CRUK0022	5	2	3	7	154	650.0961	318.4664
CRUK0022	5	2	4	4	154	649.9663	361.587
CRUK0023	10	1	0	356	356	1000.797	88.02287
CRUK0023	10	1	1	98	258	861.3919	-7.911354
CRUK0023	10	1	2	48	210	822.4897	-4.207833
CRUK0023	10	1	3	14	210	822.4449	43.80837
CRUK0023	10	1	4	11	210	820.9893	90.17636
CRUK0023	10	1	5	11	210	820.9444	138.1925
CRUK0023	10	1	6	11	210	820.9444	186.261
CRUK0023	10	1	7	5	210	820.9444	234.3295
CRUK0023	10	1	8	5	210	820.9444	282.3981
CRUK0023	10	1	9	5	210	820.9444	330.4666
CRUK0023	10	2	0	356	356	1000.797	88.02287
CRUK0023	10	2	1	71	285	901.6456	35.93382
CRUK0023	10	2	2	27	258	861.3919	40.15718
CRUK0023	10	2	3	27	210	822.4897	43.8607
CRUK0023	10	2	4	27	210	822.2995	91.70715
CRUK0023	10	2	5	11	210	820.9893	138.2449
CRUK0023	10	2	6	11	210	820.9444	186.261
CRUK0023	10	2	7	5	210	820.9444	234.3295
CRUK0023	10	2	8	5	210	820.9444	282.3981
CRUK0023	10	2	9	5	210	820.9444	330.4666
CRUK0024	8	1	0	826	826	4182.198	1348.115
CRUK0024	8	1	1	190	636	4030.619	1366.269
CRUK0024	8	1	2	39	597	4012.945	1409.401
CRUK0024	8	1	3	39	597	4003.42	1454.082
CRUK0024	8	1	4	13	597	4000.724	1500.071
CRUK0024	8	1	5	13	597	3998.134	1546.08
CRUK0024	8	1	6	13	597	3997.635	1592.491
CRUK0024	8	1	7	9	597	3997.676	1639.006
CRUK0025	7	1	0	517	517	1344.818	511.7754
CRUK0025	7	1	1	76	441	1199.25	480.3613
CRUK0025	7	1	2	64	377	1106.485	471.8321
CRUK0025	7	1	3	55	330	1096.959	511.5935
CRUK0025	7	1	4	20	330	1095.641	556.3574
CRUK0025	7	1	5	17	330	1095.086	601.5887
CRUK0025	7	1	6	8	330	1094.947	647.075
CRUK0025	7	2	0	517	517	1344.818	511.7754
CRUK0025	7	2	1	76	441	1199.25	480.3613
CRUK0025	7	2	2	44	397	1122.42	481.4406
CRUK0025	7	2	3	20	377	1105.167	516.603
CRUK0025	7	2	4	20	330	1095.641	556.3574
CRUK0025	7	2	5	17	330	1095.086	601.5887
CRUK0025	7	2	6	8	330	1094.947	647.075
CRUK0026	3	1	0	151	151	171.6163	-109.4567
CRUK0026	3	1	1	24	127	164.2099	-82.52122
CRUK0026	3	1	2	24	102	162.1495	-46.517
CRUK0027	5	1	0	937	937	6542.096	1297.085
CRUK0027	5	1	1	180	757	5440.093	1251.76
CRUK0027	5	1	2	77	680	5252.02	1278.089
CRUK0027	5	1	3	19	680	5243.192	1320.498
CRUK0027	5	1	4	5	680	5245.641	1363.939
CRUK0028	5	1	0	90	90	108.6862	-669.7376
CRUK0028	5	1	1	13	77	106.7071	-635.3423
CRUK0028	5	1	2	8	72	104.782	-600.8645
CRUK0028	5	1	3	8	59	102.9865	-565.9443
CRUK0028	5	1	4	5	59	102.5976	-524.5439
CRUK0028	5	2	0	90	90	108.6862	-669.7376
CRUK0028	5	2	1	8	82	105.8073	-639.4068
CRUK0028	5	2	2	8	69	104.0102	-604.4132
CRUK0028	5	2	3	8	59	102.9865	-565.9443
CRUK0028	5	2	4	5	59	102.5976	-524.5439
CRUK0029	9	1	0	394	394	789.5009	-30.57741
CRUK0029	9	1	1	88	306	780.7303	7.101629
CRUK0029	9	1	2	14	306	776.9316	50.21858
CRUK0029	9	1	3	12	294	775.0782	95.48603
CRUK0029	9	1	4	12	294	773.2405	140.7661
CRUK0029	9	1	5	4	294	772.7688	187.5698
CRUK0029	9	1	6	4	294	772.8863	235.0321
CRUK0029	9	1	7	4	294	773.0327	282.5269
CRUK0029	9	1	8	4	294	774.7736	331.8015
CRUK0030	4	1	0	258	258	503.4503	145.658
CRUK0030	4	1	1	34	224	488.965	176.1019
CRUK0030	4	1	2	5	219	487.8634	216.8904
CRUK0030	4	1	3	5	219	487.7617	258.4648
CRUK0031	7	1	0	820	820	2425.908	908.2202
CRUK0031	7	1	1	49	771	2373.088	938.9986
CRUK0031	7	1	2	37	734	2320.119	969.4011
CRUK0031	7	1	3	16	718	2313.523	1013.06
CRUK0031	7	1	4	14	718	2312.526	1058.342
CRUK0031	7	1	5	16	639	2338.341	1111.373
CRUK0031	7	1	6	14	639	2337.344	1156.659
CRUK0031	7	2	0	820	820	2425.908	908.2202
CRUK0031	7	2	1	49	771	2373.088	938.9986
CRUK0031	7	2	2	23	748	2327.367	971.497
CRUK0031	7	2	3	14	734	2319.123	1014.684
CRUK0031	7	2	4	14	718	2312.526	1058.342
CRUK0031	7	2	5	14	639	2338.89	1111.531
CRUK0031	7	2	6	14	639	2337.344	1156.659
CRUK0032	13	1	0	1122	1122	4608.783	1680.319
CRUK0032	13	1	1	222	900	4176.926	1607.436
CRUK0032	13	1	2	142	758	3903.574	1572.872
CRUK0032	13	1	3	50	758	3881.857	1615.815
CRUK0032	13	1	4	50	758	3871.879	1662.508
CRUK0032	13	1	5	24	758	3866.971	1710.83
CRUK0032	13	1	6	30	758	3861.83	1759.075
CRUK0032	13	1	7	24	758	3856.922	1807.393
CRUK0032	13	1	8	24	758	3853.454	1856.175
CRUK0032	13	1	9	22	758	3851.509	1905.45
CRUK0032	13	1	10	7	758	3850.43	1955.006
CRUK0032	13	1	11	6	758	3849.827	2004.716
CRUK0032	13	1	12	6	758	3852.712	2055.555
CRUK0033	2	1	0	54	54	61.71295	-181.1178
CRUK0033	2	1	1	7	47	60.3564	-148.5829
CRUK0034	7	1	0	893	893	3680.775	1188.389
CRUK0034	7	1	1	142	751	3449.528	1190.357
CRUK0034	7	1	2	130	621	3236.077	1193.005
CRUK0034	7	1	3	57	621	3220.453	1235.324
CRUK0034	7	1	4	57	621	3213.853	1279.517
CRUK0034	7	1	5	13	621	3211.637	1324.625
CRUK0034	7	1	6	13	621	3210.349	1369.928
CRUK0035	5	1	0	214	214	307.4731	-170.5748
CRUK0035	5	1	1	23	191	302.707	-134.8569
CRUK0035	5	1	2	10	181	300.7536	-94.74799
CRUK0035	5	1	3	10	155	297.7293	-56.38271
CRUK0035	5	1	4	10	155	295.3029	-17.09406
CRUK0036	7	1	0	207	207	486.4916	-171.5102
CRUK0036	7	1	1	19	188	476.2681	-140.2108
CRUK0036	7	1	2	10	178	473.7614	-98.18526
CRUK0036	7	1	3	10	159	472.155	-54.89588
CRUK0036	7	1	4	5	159	471.5617	-10.16901
CRUK0036	7	1	5	4	159	471.0081	34.61342
CRUK0036	7	1	6	4	159	471.1424	80.37688
CRUK0037	10	1	0	466	466	1147.816	219.6039
CRUK0037	10	1	1	92	374	1127.084	250.1748
CRUK0037	10	1	2	32	374	1122.855	294.6345
CRUK0037	10	1	3	11	374	1121.361	341.4245
CRUK0037	10	1	4	10	374	1120.107	388.4193
CRUK0037	10	1	5	6	383	1117.858	434.5577
CRUK0037	10	1	6	6	383	1116.363	481.342
CRUK0037	10	1	7	6	374	1115.579	528.7361
CRUK0037	10	1	8	6	374	1115.016	576.3198
CRUK0037	10	1	9	6	374	1115.007	624.3806
CRUK0037	10	2	0	466	466	1147.816	219.6039
CRUK0037	10	2	1	92	374	1127.084	250.1748
CRUK0037	10	2	2	21	374	1123.978	295.5938
CRUK0037	10	2	3	11	374	1121.361	341.4245
CRUK0037	10	2	4	10	374	1120.107	388.4193
CRUK0037	10	2	5	6	404	1119.021	435.5565
CRUK0037	10	2	6	6	383	1116.363	481.342
CRUK0037	10	2	7	6	374	1115.579	528.7361
CRUK0037	10	2	8	6	374	1115.016	576.3198
CRUK0037	10	2	9	6	374	1115.007	624.3806
CRUK0037	10	3	0	466	466	1147.816	219.6039
CRUK0037	10	3	1	81	385	1129.7	252.4003
CRUK0037	10	3	2	11	374	1124.616	296.1389
CRUK0037	10	3	3	11	374	1121.361	341.4245
CRUK0037	10	3	4	10	374	1120.107	388.4193
CRUK0037	10	3	5	6	404	1119.021	435.5565
CRUK0037	10	3	6	6	383	1116.363	481.342
CRUK0037	10	3	7	6	374	1115.579	528.7361
CRUK0037	10	3	8	6	374	1115.016	576.3198
CRUK0037	10	3	9	6	374	1115.007	624.3806
CRUK0037	10	4	0	466	466	1147.816	219.6039
CRUK0037	10	4	1	86	380	1129.425	252.1669
CRUK0037	10	4	2	32	380	1125.852	297.1928
CRUK0037	10	4	3	6	374	1122.669	342.5435
CRUK0037	10	4	4	6	374	1120.993	389.1779
CRUK0037	10	4	5	6	383	1117.858	434.5577
CRUK0037	10	4	6	6	383	1116.363	481.342
CRUK0037	10	4	7	6	374	1115.579	528.7361
CRUK0037	10	4	8	6	374	1115.016	576.3198
CRUK0037	10	4	9	6	374	1115.007	624.3806
CRUK0037	10	5	0	466	466	1147.816	219.6039
CRUK0037	10	5	1	75	391	1132.136	254.468
CRUK0037	10	5	2	11	380	1127.054	298.2175
CRUK0037	10	5	3	6	374	1123.871	343.5712
CRUK0037	10	5	4	6	374	1121.174	389.3333
CRUK0037	10	5	5	6	404	1119.021	435.5565
CRUK0037	10	5	6	6	383	1116.363	481.342
CRUK0037	10	5	7	6	374	1115.579	528.7361
CRUK0037	10	5	8	6	374	1115.016	576.3198
CRUK0037	10	5	9	6	374	1115.007	624.3806
CRUK0037	10	6	0	466	466	1147.816	219.6039
CRUK0037	10	6	1	76	390	1132.753	254.9915
CRUK0037	10	6	2	10	380	1127.099	298.2559
CRUK0037	10	6	3	6	374	1123.916	343.6097
CRUK0037	10	6	4	6	374	1120.993	389.1779
CRUK0037	10	6	5	6	383	1117.858	434.5577
CRUK0037	10	6	6	6	383	1116.363	481.342
CRUK0037	10	6	7	6	374	1115.579	528.7361
CRUK0037	10	6	8	6	374	1115.016	576.3198
CRUK0037	10	6	9	6	374	1115.007	624.3806
CRUK0037	10	7	0	466	466	1147.816	219.6039
CRUK0037	10	7	1	65	401	1135.791	257.5621
CRUK0037	10	7	2	10	391	1130.14	300.8427
CRUK0037	10	7	3	10	380	1125.058	344.5846
CRUK0037	10	7	4	6	374	1121.875	389.9334
CRUK0037	10	7	5	6	404	1119.021	435.5565
CRUK0037	10	7	6	6	383	1116.363	481.342
CRUK0037	10	7	7	6	374	1115.579	528.7361
CRUK0037	10	7	8	6	374	1115.016	576.3198
CRUK0037	10	7	9	6	374	1115.007	624.3806
CRUK0037	10	8	0	466	466	1147.816	219.6039
CRUK0037	10	8	1	81	385	1129.7	252.4003
CRUK0037	10	8	2	11	374	1124.616	296.1389
CRUK0037	10	8	3	11	374	1121.361	341.4245
